title,plot_processed,thumbnail,
death in the clouds,mystery woman kill poisoned dart enclosed confines commercial passenger plane seat hercule poirot ideally place observe fellow air passenger right sit pretty young woman clearly infatuate man opposite ahead seat sit countess cocaine habit across gangway seat detective writer trouble aggressive wasp poirot yet realize behind seat sit slumped lifeless body,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
appointment with death,mystery repugnant amercian widow kill trip petra among towering red cliff petra like monstrous swollen buddha sit corpse mr boynton tiny puncture mark wrist sign fatal injection kill hour available solve mystery hercule poirot recall chance remark overhear back jerusalem see get kill mr boynton indeed detestable woman ever meet,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api
hallowe'en party,hercule fictitious character one believe little girl insist witness murder turn drown hercule poirot set catch,http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
hercule poirot's christmas,night christmas cruel tyrannical simeon lee find locked bedroom throat cut hercule poirot must put deductive power test solve one chilling case prevent clever killer spill,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the big four,mystery ruthless international cartel seek world domination frame doorway poirot bedroom stand uninvited guest coat head foot dust man gaunt face star moment sway fell suffer shock exhaustion significance figure scribble sheet paper poirot find plunge world international intrigue risk life uncover truth,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the thirteen problems,mystery story tuesday night club venue local challenge miss marple solve recent crime one tuesday even group gather miss marple house conversation turn unsolved crime case disappearing bloodstains thief commit crime twice message poison man read fish strange case invisible spiritualist warn geranium meant death pit wit power deduction night,http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api
they do it with mirrors,man shoot juvenile reform home someone else die miss marple sens danger visit friend living victorian mansion double rehabilitiation centre delinquent fear confirm youth fire revolver administrator lewis serrocold neither injure mysterious visitor mr gilbrandsen le fortunate shot dead simultaneously another part building pure coincidence miss marple think vow discover real reason mr gilbrandsen,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
a murder is announced,mystery story villager chip cleghorn amaze advertisement local paper read murder announce take place friday october little paddock unable resist crowd begin gather house appointed time man kill look like attempted robbery miss marple becomes,http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
the mirror crack'd from side to side,jane fictitious character minute silly heather badcock gabble movie idol glamorous marina gregg next heather suffer massive seizure deadly poison really intend marina frozen expression suggest witness something horrific others search material evidence jane marple conduct different investigation human,http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
mrs mcginty's dead,old widow brutally kill parlour cottage mr mcginty die brutal blow back head suspicion fell immediately shifty lodger james bentley whose clothes reveal trace victim blood hair yet something amiss bentley look like murderer poirot believe could save man gallows realise life great danger,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
taken at the flood,week marry attractive young widow gordon cloade tragically kill bomb blast london blitz overnight former mr underhay find sole possession cloade family fortune shortly afterwards hercule poirot receive visit dead man claim warn spirit mrs underhay first husband still alive poirot suspicion ask find miss person guide spirit world yet mystify poirot woman true motive approach,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
